Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA19056,JPT,East Asian Ancestry,Japanese,-6.9984001276990675,-6.141802268416284,-7.404318,-26.214298,-3.2160951110311453,-3.3612472680031216,,,,,
NA19057,JPT,East Asian Ancestry,Japanese,-6.220963989984808,-5.4687192827073625,-13.177228,-22.980375,-2.022517202581935,-1.5051686184395812,,,,,
NA19058,JPT,East Asian Ancestry,Japanese,-6.3073581129252965,-5.726547694063227,-11.646013,-26.539589,-2.6682104000993374,-1.776077573876183,,,,,
NA19059,JPT,East Asian Ancestry,Japanese,-6.954401394826,-5.0696741930045865,-14.497223,-24.795515,-3.1423076201555054,-2.0920964321278523,,,,,
NA19060,JPT,East Asian Ancestry,Japanese,-6.358896938694498,-4.47349341713793,-16.244083,-22.177427,-3.1394895776133342,-1.2214418959299413,,,,,
NA19062,JPT,East Asian Ancestry,Japanese,-6.475419027687504,-6.207915139946324,-12.642768,-26.585468,-2.8248013897872033,-1.2631440436473222,,,,,
NA19063,JPT,East Asian Ancestry,Japanese,-6.619702809263098,-6.497641090825291,-9.095902,-29.715912,-3.298036358549157,-3.1236582697356043,,,,,
NA19064,JPT,East Asian Ancestry,Japanese,-6.054451351080855,-4.380817211005659,-13.702799,-25.230673,-2.8371470466284183,-0.7424923114637099,,,,,
NA19065,JPT,East Asian Ancestry,Japanese,-5.170532062765918,-5.7663762961370795,-12.9036665,-24.723349,-2.2150562137976766,-2.8763046952650306,,,,,
NA19066,JPT,East Asian Ancestry,Japanese,-5.577606191322328,-5.68314211413415,-4.618518,-28.945496,-2.8890505319646884,-2.497020782398349,,,,,
NA19067,JPT,East Asian Ancestry,Japanese,-6.083834474434562,-6.443110786919974,-12.077392,-32.82292,-3.481731121900429,-2.768271052121298,,,,,
NA19068,JPT,East Asian Ancestry,Japanese,-7.474581346901358,-6.011761461434365,-12.6936035,-27.41236,-3.3738483376695365,-2.66970396787693,,,,,
NA19070,JPT,East Asian Ancestry,Japanese,-6.42484060050781,-5.761839810732579,-11.48913,-25.753477,-3.0553201332318425,-2.422504644076266,,,,,
NA19072,JPT,East Asian Ancestry,Japanese,-5.538612365472476,-3.387453195066789,-11.3764925,-22.72492,-2.7460475252994367,-1.276542655134913,,,,,
NA19074,JPT,East Asian Ancestry,Japanese,-6.911890858450237,-4.2491819296995255,-10.5728655,-22.295738,-3.196611468643887,-2.566296056570338,,,,,
NA19075,JPT,East Asian Ancestry,Japanese,-6.589203483613481,-4.604340311382637,-5.8120666,-24.530916,-2.7095034129710998,-1.855316453896123,,,,,
NA19076,JPT,East Asian Ancestry,Japanese,-6.58215383687828,-6.517846367770853,-5.570746,-30.016687,-3.5470947781137037,-1.8909401303494864,,,,,
NA19077,JPT,East Asian Ancestry,Japanese,-6.290262370064356,-6.492865554704113,-15.008044,-24.980232,-3.729844893742265,-2.0506280532776118,,,,,
NA19078,JPT,East Asian Ancestry,Japanese,-6.517706034811059,-7.381422713374879,-8.773584,-26.433275,-3.7255754327027697,-2.3313986166613194,,,,,
NA19079,JPT,East Asian Ancestry,Japanese,-5.5976229182095025,-6.39602081525537,-15.644274,-29.044405,-2.339718901561957,-2.5302037700680033,,,,,
NA19080,JPT,East Asian Ancestry,Japanese,-5.791287546284147,-4.407256511259404,-14.67945,-21.09274,-2.6424399340485705,-1.8605038366317896,,,,,
NA19081,JPT,East Asian Ancestry,Japanese,-6.749503603378178,-6.343177314087121,-8.445123,-23.897007,-2.737424251793348,-2.8484727082169616,,,,,
NA19082,JPT,East Asian Ancestry,Japanese,-6.591410222037036,-6.290212848598141,-11.224668,-27.135263,-3.333332519106354,-1.5928567053406204,,,,,
NA19083,JPT,East Asian Ancestry,Japanese,-6.336703393044498,-5.415265082132531,-7.041077,-26.531382,-2.5113066488959648,-1.6612224804603026,,,,,
NA19084,JPT,East Asian Ancestry,Japanese,-6.102915319842918,-5.35386630318414,-15.932655,-23.402355,-2.9010458518389672,-1.2974493974585983,,,,,
NA19085,JPT,East Asian Ancestry,Japanese,-6.570228941550978,-5.050915464148219,-12.565936,-23.729578,-2.7998261522930425,-1.1846473967610458,,,,,
NA19087,JPT,East Asian Ancestry,Japanese,-6.988923864307997,-5.355590337849507,-8.866174,-21.352076,-3.241505874801308,-1.848610853039827,,,,,
NA19088,JPT,East Asian Ancestry,Japanese,-6.13529701488735,-5.386319230026738,-9.315185,-24.88548,-2.2412477090862963,-2.2157307887687856,,,,,
NA19093,YRI,African Ancestry,Yoruba,10.48605165543558,-4.433062870295607,25.945995,-5.500312,5.699205113120141,-0.9651022264831681,,,1.9086448910003222,-1.0980623547291262,2.957800157477274
NA19095,YRI,African Ancestry,Yoruba,10.556319897996772,-2.0614974110234607,19.26183,3.2037663,4.864314059981304,-1.8863874602902602,,,-0.6106030514937479,-0.6620622666239998,-1.2655868474432757
NA19096,YRI,African Ancestry,Yoruba,9.840198238196487,-4.536465257094448,25.2446,2.1325116,4.960355597869278,-2.5303880563013603,,,1.8033629865273266,0.42517087066821124,-3.0083895678252555
NA19098,YRI,African Ancestry,Yoruba,11.120397578458077,-4.362166077266688,22.28226,-0.89937633,5.805727353469388,-1.48778372356103,,,2.305579957705022,-1.8286155013735428,0.9773365594655921
NA19099,YRI,African Ancestry,Yoruba,11.104219024416995,-3.6564577757362597,24.533741,1.9182001,4.974182195659666,-1.281472074447907,,,1.7306733645171963,-2.186263747374212,-2.0329811259023005
NA19102,YRI,African Ancestry,Yoruba,10.882863691420699,-3.113907833853543,22.323006,-0.35745108,4.932574541386048,-0.3928740978262053,,,1.0918732569383036,-1.0192420614804325,-3.0972572155349516
NA19107,YRI,African Ancestry,Yoruba,11.176511563819991,-5.828313996044307,23.473234,0.20200047,5.740199541945848,-1.3318396919627595,,,3.160275721707284,-1.3179664602201178,-1.4407063990617786
