Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA19685,MXL,American Ancestry,Mexican Ancestry,-3.1226698900216783,0.46098416286095834,-1.9926149,-2.363122,-1.4627359396257673,0.00471322512589345,,,,,
NA19700,ASW,African Ancestry,African Ancestry SW,6.823937500194619,-0.950554626723334,14.694253,0.5107005,3.88509959904275,-0.7667191831132252,,,-4.422027730483164,-0.3633210584818148,-0.533975305283071
NA19701,ASW,African Ancestry,African Ancestry SW,8.78260437813188,-3.6573745773314874,18.036448,0.75633276,4.326806291439585,-1.105837510409084,,,-0.5070801363839158,-2.6033185298279844,0.4378069412673251
NA19703,ASW,African Ancestry,African Ancestry SW,9.1123942560613,-3.6799407703995852,26.585604,-3.4312453,4.535008634529457,-1.7761487760140127,,,0.08806460625347562,-1.453961487838803,3.5495892466245462
NA19704,ASW,African Ancestry,African Ancestry SW,11.424589425432586,-3.413480084736528,27.2057,-2.0442383,5.378312170282854,-0.9024468694256815,,,2.3289343232824065,-2.355336491757395,-0.24603730686402245
NA19707,ASW,African Ancestry,African Ancestry SW,4.532009290085882,-9.788060961035683e-05,9.028556,5.284136,2.8738959609920824,0.20616320953459244,,,-6.163536376793227,-1.519432829115218,0.18649070404570922
NA19711,ASW,African Ancestry,African Ancestry SW,9.532326755039804,-2.6822151232266096,23.59871,-1.0099728,5.172085218107686,-1.6247851307278216,,,0.25402588817860033,-2.7003320834795983,0.2566511594940106
NA19712,ASW,African Ancestry,African Ancestry SW,7.404337875517451,-0.8693726068407761,15.746055,4.144627,2.9524128770908504,0.09517476028980054,,,-3.075904027241426,-1.4497824789766145,-1.170278162511744
NA19713,ASW,African Ancestry,African Ancestry SW,7.480468725406619,-1.6261859995707493,20.15297,1.810814,2.5053030351392866,-0.5443008845128041,,,-3.359810633583273,-0.9922717411976516,0.4211940468863667
NA19716,MXL,American Ancestry,Mexican Ancestry,-2.2666391453359216,2.8820192653554817,-4.4232836,1.7087845,-1.1851704636657092,0.8239189257580706,,,,,
NA19717,MXL,American Ancestry,Mexican Ancestry,-4.606580224985068,0.29005722069799766,-4.7820206,-1.6687387,-1.9411637095269447,-0.4683283999956154,,,,,
NA19719,MXL,American Ancestry,Mexican Ancestry,-1.039669152374083,3.3458252796625656,2.0977767,5.5361195,-1.2933324815355682,1.0559774963544069,,,,,
NA19720,MXL,American Ancestry,Mexican Ancestry,-2.474443389437701,0.9455013257453917,-2.1908412,1.0380145,-0.5250849601592715,0.6113515077863179,,,,,
NA19722,MXL,American Ancestry,Mexican Ancestry,0.34876291761615963,1.5735709971020517,0.95152843,3.0361817,0.3044653687038179,0.6757152744702877,,,,,
NA19723,MXL,American Ancestry,Mexican Ancestry,-1.8731528948920748,1.1462198256571003,-4.800924,0.186689,-0.6242807133779713,0.06771626220904459,,,,,
NA19725,MXL,American Ancestry,Mexican Ancestry,1.0454240616455666,1.6562820129251694,2.177401,3.8546736,-0.06017408081303166,0.03758162423599032,,,,,
NA19726,MXL,American Ancestry,Mexican Ancestry,-5.286543397454024,-1.1086342136994514,-4.087901,-2.0427005,-2.3977010203590723,-1.096135555289853,,,,,
NA19728,MXL,American Ancestry,Mexican Ancestry,-2.517549990959473,0.09708502652442697,-1.7983983,-0.9086219,-1.1109865460978794,-0.53703948397651,,,,,
NA19729,MXL,American Ancestry,Mexican Ancestry,-3.0439374857608987,5.42272571455473,-6.772033,-0.18109508,-1.1024672955379562,1.9167545503129175,,,,,
NA19731,MXL,American Ancestry,Mexican Ancestry,-4.986770302201864,0.7667011110344424,-5.0633926,-1.163961,-1.5677669790335882,-0.38723178307482575,,,,,
NA19732,MXL,American Ancestry,Mexican Ancestry,-4.777333525623629,-0.1272991658594007,-4.5642233,-1.5111625,-1.5286612018029893,-0.8086730382953919,,,,,
NA19734,MXL,American Ancestry,Mexican Ancestry,-3.3383659886913466,1.9211204840249638,-2.8211186,1.3274267,-2.2253843444627703,0.20961265126199802,,,,,
NA19735,MXL,American Ancestry,Mexican Ancestry,-2.877971922781308,2.4558451543340105,-6.752032,-0.3548123,-0.530590958384433,0.6674616333846537,,,,,
NA19737,MXL,American Ancestry,Mexican Ancestry,-3.8913455444794667,0.5300870532709032,-5.1161666,-1.8322185,-1.9593186223356183,-1.3614154728971344,,,,,
NA19738,MXL,American Ancestry,Mexican Ancestry,-3.0679984050170463,2.2094996182841298,-3.962722,-2.2675986,-1.5099856997331642,0.695798031729886,,,,,
NA19740,MXL,American Ancestry,Mexican Ancestry,-1.726839981547474,2.7397633280407607,-3.8083253,0.733308,-0.450621190503496,0.6475090067179274,,,,,
NA19741,MXL,American Ancestry,Mexican Ancestry,-4.266927106969477,-2.210473101844449,-5.0444307,-2.4270818,-2.2954203378321276,-1.4474434416241797,,,,,
NA19746,MXL,American Ancestry,Mexican Ancestry,-1.5161961179823171,1.1489767439120406,-0.025112776,1.3035794,-0.8929788735294049,0.6322115952468665,,,,,
NA19747,MXL,American Ancestry,Mexican Ancestry,-3.032300491059668,1.045015604222006,-2.7135096,-0.9805899,-0.7009538055610836,0.06984853760502086,,,,,
NA19749,MXL,American Ancestry,Mexican Ancestry,-4.358147077192782,-2.2812403531745735,-8.077521,-20.232351,-2.323238061698075,-1.1339436031674754,,,,,
NA19750,MXL,American Ancestry,Mexican Ancestry,-0.5933516830824217,3.754754653159418,-2.790793,9.717039,-0.36123473633340547,1.2714047874383327,,,,,
NA19752,MXL,American Ancestry,Mexican Ancestry,-2.025199364773833,1.412302710942508,-2.98993,-2.5899065,-1.758688778836376,0.5757159271582606,,,,,
NA19753,MXL,American Ancestry,Mexican Ancestry,-3.2922546268270083,0.4729313223680043,-4.9073243,-1.8707134,-0.7176899601120736,-1.3812136044142083,,,,,
NA19755,MXL,American Ancestry,Mexican Ancestry,-2.619867149909434,1.3954328420302922,-1.5633136,2.1786892,-1.1405170406530476,0.527824753105615,,,,,
